maison_r@accueil ['maison_r', 1, 1, 'accueil', 'maison']
voyager@accueil ['voyager', 2, 1, 'accueil', None]
garcon@accueil ['garcon', 3, 1, 'accueil', None]
fin@accueil ['fin', 1, 2, 'accueil', None]
livre@accueil ['livre', 2, 2, 'accueil', None]
table@accueil ['table', 3, 2, 'accueil', None]
avion@accueil ['avion', 1, 3, 'accueil', None]
ecole_r@accueil ['ecole_r', 2, 3, 'accueil', 'ecole']
lieux_r@accueil ['lieux_r', 3, 3, 'accueil', 'lieux']
chambre@maison ['chambre', 1, 3, 'maison', None]
cuisine@maison ['cuisine', 1, 2, 'maison', None]
savon@maison ['savon', 3, 1, 'maison', None]
eau@maison ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
parc@lieux ['parc', 1, 3, 'lieux', None]
hopital_r@lieux ['hopital_r', 2, 2, 'lieux', 'hopital']
universite@lieux ['universite', 3, 1, 'lieux', None]
agence@lieux ['agence', 3, 2, 'lieux', None]
retour_r@lieux ['retour_r', 3, 3, 'lieux', 'accueil']
infirmiere@hopital ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital ['docteur', 1, 3, 'hopital', None]
pacient@hopital ['pacient', 2, 1, 'hopital', None]
maladie@hopital ['maladie', 2, 2, 'hopital', None]
train@hopital ['train', 2, 3, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'lieux']
professeur@ecole ['professeur', 1, 1, 'ecole', None]
cahier@ecole ['cahier', 2, 1, 'ecole', None]
je@ecole ['je', 3, 1, 'ecole', None]
devoir@ecole ['devoir', 1, 2, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
