maison_r@maison* ['maison_r', 1, 1, 'maison', 'extra_8464']
viande@maison ['viande', 1, 2, 'maison', None]
chambre@maison* ['chambre', 1, 3, 'maison', None]
salle@maison ['salle', 2, 1, 'maison', None]
avion@maison* ['avion', 2, 2, 'maison', None]
nager@maison* ['nager', 2, 3, 'maison', None]
savon@maison* ['savon', 3, 1, 'maison', None]
eau@maison* ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
train@accueil ['train', 1, 1, 'accueil', 'maison']
ecole_r@extra_7452 ['ecole_r', 1, 1, 'extra_7452', None]
garcon@extra_7452 ['garcon', 1, 2, 'extra_7452', None]
bureau@extra_7452 ['bureau', 1, 3, 'extra_7452', None]
plus_r@extra_7452 ['plus_r', 2, 1, 'extra_7452', None]
homme@extra_7452 ['homme', 2, 2, 'extra_7452', None]
sport_r@extra_7452 ['sport_r', 2, 3, 'extra_7452', None]
je@extra_7452 ['je', 3, 1, 'extra_7452', None]
femme@extra_7452 ['femme', 3, 2, 'extra_7452', None]
retour_r@extra_7452 ['retour_r', 3, 3, 'extra_7452', 'accueil']
salle@accueil ['salle', 1, 2, 'accueil', 'extra_7452']
voyager@extra_1005 ['voyager', 1, 1, 'extra_1005', None]
lieux_r@extra_1005 ['lieux_r', 1, 2, 'extra_1005', None]
camion@extra_1005 ['camion', 1, 3, 'extra_1005', None]
agence@extra_1005 ['agence', 2, 1, 'extra_1005', None]
retour_r@extra_1005 ['retour_r', 3, 3, 'extra_1005', 'accueil']
avion@accueil* ['avion', 1, 3, 'accueil', 'extra_1005']
voyager@accueil ['voyager', 2, 1, 'accueil', 'extra_750']
chaise@accueil* ['chaise', 2, 2, 'accueil', 'extra_8039']
professeur@ecole* ['professeur', 1, 1, 'ecole', None]
devoir@ecole* ['devoir', 1, 2, 'ecole', None]
livre@ecole* ['livre', 1, 3, 'ecole', None]
cahier@ecole* ['cahier', 2, 1, 'ecole', None]
je@ecole* ['je', 2, 2, 'ecole', None]
toilette@ecole ['toilette', 2, 3, 'ecole', None]
je@ecole*** ['je', 3, 1, 'ecole', None]
table@ecole ['table', 3, 2, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
ecole_r@accueil ['ecole_r', 2, 3, 'accueil', 'ecole']
toilette@accueil ['toilette', 3, 1, 'accueil', 'extra_1548']
bureau@accueil ['bureau', 3, 2, 'accueil', 'extra_7911']
chien@personnes ['chien', 1, 1, 'lieux', None]
priere@religion* ['priere', 1, 1, 'religion', None]
voyager@religion* ['voyager', 1, 2, 'religion', None]
voiture@religion ['voiture', 1, 3, 'religion', None]
eglise@religion* ['eglise', 2, 1, 'religion', None]
salade@religion ['salade', 2, 2, 'religion', None]
cuisine@religion ['cuisine', 2, 3, 'religion', None]
bus@religion ['bus', 3, 1, 'religion', None]
train@religion* ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'lieux']
religion_r@personnes ['religion_r', 1, 2, 'lieux', 'religion']
parc@lieux ['parc', 1, 3, 'lieux', None]
moto@sport ['moto', 1, 1, 'sport', None]
je@sport ['je', 1, 2, 'sport', None]
toilette@sport ['toilette', 1, 3, 'sport', None]
train@sport ['train', 2, 1, 'sport', None]
tennis@sport ['tennis', 2, 2, 'sport', None]
je@sport* ['je', 2, 3, 'sport', None]
plus_r@sport ['plus_r', 3, 1, 'sport', None]
carrote@sport ['carrote', 3, 2, 'sport', None]
retour_r@sport ['retour_r', 3, 3, 'sport', 'lieux']
femme@lieux ['femme', 2, 1, 'lieux', 'sport']
avion@hopital ['avion', 1, 1, 'hopital', None]
infirmiere@hopital* ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital* ['docteur', 1, 3, 'hopital', None]
pacient@hopital* ['pacient', 2, 1, 'hopital', None]
maladie@hopital* ['maladie', 2, 2, 'hopital', None]
train@hopital* ['train', 2, 3, 'hopital', None]
voyager@hopital ['voyager', 3, 1, 'hopital', None]
chaise@hopital ['chaise', 3, 2, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'lieux']
hopital_r@personnes ['hopital_r', 2, 2, 'lieux', 'hopital']
lieux_r@lieux ['lieux_r', 2, 3, 'lieux', None]
universite@lieux ['universite', 3, 1, 'lieux', None]
femme@personnes ['femme', 3, 2, 'lieux', None]
retour_r@lieux ['retour_r', 3, 3, 'lieux', 'accueil']
animaux_r@accueil ['animaux_r', 3, 3, 'accueil', 'lieux']
voiture@accueil ['voiture', 2, 2, 'extra_1005', None]
maison_r@maison ['maison_r', 2, 3, 'extra_1005', None]
cuisine@maison ['cuisine', 3, 1, 'extra_1005', None]
chambre@maison ['chambre', 3, 2, 'extra_1005', None]
retour_r@extra_750 ['retour_r', 3, 3, 'extra_750', 'accueil']
fin@maison ['fin', 1, 1, 'extra_750', None]
avion@maison ['avion', 1, 2, 'extra_750', None]
nager@maison ['nager', 1, 3, 'extra_750', None]
savon@maison ['savon', 2, 1, 'extra_750', None]
eau@maison ['eau', 2, 2, 'extra_750', None]
fin@accueil ['fin', 2, 3, 'extra_750', None]
avion@accueil ['avion', 3, 1, 'extra_750', None]
avion@accueil** ['avion', 3, 2, 'extra_750', None]
retour_r@extra_8039 ['retour_r', 3, 3, 'extra_8039', 'accueil']
chaise@accueil ['chaise', 1, 1, 'extra_8039', None]
voyager@accueil* ['voyager', 1, 2, 'extra_8039', None]
professeur@ecole ['professeur', 1, 3, 'extra_8039', None]
devoir@ecole ['devoir', 2, 1, 'extra_8039', None]
livre@ecole ['livre', 2, 2, 'extra_8039', None]
cahier@ecole ['cahier', 2, 3, 'extra_8039', None]
je@ecole ['je', 3, 1, 'extra_8039', None]
garcon@ecole ['garcon', 3, 2, 'extra_8039', None]
retour_r@extra_1548 ['retour_r', 3, 3, 'extra_1548', 'accueil']
je@ecole** ['je', 1, 1, 'extra_1548', None]
bureau@ecole ['bureau', 1, 2, 'extra_1548', None]
velo@accueil ['velo', 1, 3, 'extra_1548', None]
table@accueil ['table', 2, 1, 'extra_1548', None]
plus_r@accueil ['plus_r', 2, 2, 'extra_1548', None]
homme@lieux ['homme', 2, 3, 'extra_1548', None]
religion_r@lieux ['religion_r', 3, 1, 'extra_1548', None]
priere@religion ['priere', 3, 2, 'extra_1548', None]
retour_r@extra_7911 ['retour_r', 3, 3, 'extra_7911', 'accueil']
voyager@religion ['voyager', 1, 1, 'extra_7911', None]
eglise@religion ['eglise', 1, 2, 'extra_7911', None]
train@religion ['train', 1, 3, 'extra_7911', None]
parc@personnes ['parc', 2, 1, 'extra_7911', None]
chat@personnes ['chat', 2, 2, 'extra_7911', None]
hopital_r@lieux ['hopital_r', 2, 3, 'extra_7911', None]
infirmiere@hopital ['infirmiere', 3, 1, 'extra_7911', None]
docteur@hopital ['docteur', 3, 2, 'extra_7911', None]
retour_r@extra_8464 ['retour_r', 3, 3, 'extra_8464', 'maison']
pacient@hopital ['pacient', 1, 1, 'extra_8464', None]
maladie@hopital ['maladie', 1, 2, 'extra_8464', None]
train@hopital ['train', 1, 3, 'extra_8464', None]
salle@personnes ['salle', 2, 1, 'extra_8464', None]
universite@personnes ['universite', 2, 2, 'extra_8464', None]
agence@lieux ['agence', 2, 3, 'extra_8464', None]
