maison_r@maison ['maison_r', 1, 1, 'maison', None]
cuisine@maison ['cuisine', 1, 2, 'maison', None]
chambre@maison ['chambre', 1, 3, 'maison', None]
salle@maison ['salle', 2, 1, 'maison', None]
avion@maison ['avion', 2, 2, 'maison', None]
voyager@maison ['voyager', 2, 3, 'maison', None]
savon@maison ['savon', 3, 1, 'maison', None]
eau@maison ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
voiture@accueil ['voiture', 1, 1, 'accueil', 'maison']
fin@accueil ['fin', 1, 2, 'accueil', 'extra_995']
avion@accueil* ['avion', 1, 3, 'accueil', 'extra_7377']
nager@accueil ['nager', 2, 1, 'accueil', None]
chaise@accueil* ['chaise', 2, 2, 'accueil', None]
professeur@ecole ['professeur', 1, 1, 'ecole', None]
devoir@ecole ['devoir', 1, 2, 'ecole', None]
livre@ecole ['livre', 1, 3, 'ecole', None]
cahier@ecole ['cahier', 2, 1, 'ecole', None]
ecole_r@ecole ['ecole_r', 2, 2, 'ecole', None]
garcon@ecole ['garcon', 2, 3, 'ecole', None]
je@ecole ['je', 3, 1, 'ecole', None]
bureau@ecole ['bureau', 3, 2, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
je@accueil ['je', 2, 3, 'accueil', 'ecole']
velo@accueil ['velo', 3, 1, 'accueil', None]
bureau@accueil ['bureau', 3, 2, 'accueil', None]
homme@personnes ['homme', 1, 1, 'nourriture', None]
priere@religion ['priere', 1, 1, 'religion', None]
voyager@religion ['voyager', 1, 2, 'religion', None]
eglise@religion ['eglise', 2, 1, 'religion', None]
train@religion ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'nourriture']
religion_r@personnes ['religion_r', 1, 2, 'nourriture', 'religion']
je@nourriture ['je', 1, 3, 'nourriture', None]
moto@sport ['moto', 1, 1, 'sport', None]
je@sport ['je', 1, 2, 'sport', None]
toilette@sport ['toilette', 1, 3, 'sport', None]
train@sport ['train', 2, 1, 'sport', None]
tennis@sport ['tennis', 2, 2, 'sport', None]
je@sport* ['je', 2, 3, 'sport', None]
plus_r@sport ['plus_r', 3, 1, 'sport', None]
carrote@sport ['carrote', 3, 2, 'sport', None]
retour_r@sport ['retour_r', 3, 3, 'sport', 'nourriture']
chat@nourriture ['chat', 2, 1, 'nourriture', 'sport']
infirmiere@hopital ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital ['docteur', 1, 3, 'hopital', None]
pacient@hopital ['pacient', 2, 1, 'hopital', None]
maladie@hopital ['maladie', 2, 2, 'hopital', None]
train@hopital ['train', 2, 3, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'nourriture']
hopital_r@personnes ['hopital_r', 2, 2, 'nourriture', 'hopital']
plus_r@personnes ['plus_r', 2, 3, 'nourriture', None]
universite@personnes ['universite', 3, 1, 'nourriture', None]
femme@nourriture ['femme', 3, 2, 'nourriture', None]
retour_r@nourriture ['retour_r', 3, 3, 'nourriture', 'accueil']
lieux_r@accueil ['lieux_r', 3, 3, 'accueil', 'nourriture']
train@accueil ['train', 1, 3, 'religion', None]
salade@extra_6737 ['salade', 2, 2, 'religion', None]
viande@extra_6737 ['viande', 2, 3, 'religion', None]
bus@accueil ['bus', 3, 1, 'religion', None]
avion@accueil ['avion', 1, 1, 'hopital', None]
avion@accueil** ['avion', 3, 1, 'hopital', None]
chaise@accueil ['chaise', 3, 2, 'hopital', None]
retour_r@extra_995 ['retour_r', 3, 3, 'extra_995', 'accueil']
voyager@accueil ['voyager', 1, 1, 'extra_995', None]
toilette@accueil ['toilette', 1, 2, 'extra_995', None]
table@accueil ['table', 1, 3, 'extra_995', None]
animaux_r@accueil ['animaux_r', 2, 1, 'extra_995', None]
chien@nourriture ['chien', 2, 2, 'extra_995', None]
sport_r@nourriture ['sport_r', 2, 3, 'extra_995', None]
parc@personnes ['parc', 3, 1, 'extra_995', None]
femme@personnes ['femme', 3, 2, 'extra_995', None]
retour_r@extra_7377 ['retour_r', 3, 3, 'extra_7377', 'accueil']
voyager@nourriture ['voyager', 1, 1, 'extra_7377', None]
salle@nourriture ['salle', 1, 2, 'extra_7377', None]
camion@nourriture ['camion', 1, 3, 'extra_7377', None]
agence@personnes ['agence', 2, 1, 'extra_7377', None]
