voiture@maison ['voiture', 1, 1, 'maison', None]
cuisine@maison ['cuisine', 1, 2, 'maison', None]
chambre@maison ['chambre', 1, 3, 'maison', None]
salle@maison ['salle', 2, 1, 'maison', None]
avion@maison ['avion', 2, 2, 'maison', None]
nager@maison ['nager', 2, 3, 'maison', None]
savon@maison ['savon', 3, 1, 'maison', None]
eau@maison ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
maison_r@accueil ['maison_r', 1, 1, 'accueil', 'maison']
fin@accueil ['fin', 1, 2, 'accueil', 'extra_2187']
camion@accueil ['camion', 1, 3, 'accueil', 'extra_1662']
avion@accueil* ['avion', 2, 1, 'accueil', None]
chaise@accueil ['chaise', 2, 2, 'accueil', None]
professeur@ecole ['professeur', 1, 1, 'ecole', None]
devoir@ecole ['devoir', 1, 2, 'ecole', None]
livre@ecole ['livre', 1, 3, 'ecole', None]
cahier@ecole ['cahier', 2, 1, 'ecole', None]
ecole_r@ecole ['ecole_r', 2, 2, 'ecole', None]
garcon@ecole ['garcon', 2, 3, 'ecole', None]
je@ecole ['je', 3, 1, 'ecole', None]
bureau@ecole ['bureau', 3, 2, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
je@accueil ['je', 2, 3, 'accueil', 'ecole']
toilette@accueil ['toilette', 3, 1, 'accueil', None]
train@accueil* ['train', 3, 2, 'accueil', None]
chien@nourriture ['chien', 1, 1, 'nourriture', None]
priere@religion ['priere', 1, 1, 'religion', None]
universite@religion ['universite', 1, 2, 'religion', None]
eglise@religion ['eglise', 2, 1, 'religion', None]
train@religion ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'nourriture']
sport_r@nourriture ['sport_r', 1, 2, 'nourriture', 'religion']
je@nourriture ['je', 1, 3, 'nourriture', None]
chaise@sport ['chaise', 1, 1, 'sport', None]
je@sport ['je', 1, 2, 'sport', None]
toilette@sport ['toilette', 1, 3, 'sport', None]
bureau@sport ['bureau', 2, 1, 'sport', None]
tennis@sport ['tennis', 2, 2, 'sport', None]
je@sport* ['je', 2, 3, 'sport', None]
animaux_r@sport ['animaux_r', 3, 1, 'sport', None]
carrote@sport ['carrote', 3, 2, 'sport', None]
retour_r@sport ['retour_r', 3, 3, 'sport', 'nourriture']
viande@nourriture ['viande', 2, 1, 'nourriture', 'sport']
infirmiere@hopital ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital ['docteur', 1, 3, 'hopital', None]
pacient@hopital ['pacient', 2, 1, 'hopital', None]
maladie@hopital ['maladie', 2, 2, 'hopital', None]
train@hopital ['train', 2, 3, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'nourriture']
hopital_r@lieux ['hopital_r', 2, 2, 'nourriture', 'hopital']
salle@nourriture ['salle', 2, 3, 'nourriture', None]
avion@nourriture ['avion', 3, 1, 'nourriture', None]
agence@lieux ['agence', 3, 2, 'nourriture', None]
retour_r@lieux ['retour_r', 3, 3, 'nourriture', 'accueil']
plus_r@accueil ['plus_r', 3, 3, 'accueil', 'nourriture']
train@accueil ['train', 1, 3, 'religion', None]
salade@extra_49 ['salade', 2, 2, 'religion', None]
chat@extra_49 ['chat', 2, 3, 'religion', None]
bus@accueil ['bus', 3, 1, 'religion', None]
avion@accueil ['avion', 1, 1, 'hopital', None]
voyager@accueil ['voyager', 3, 1, 'hopital', None]
moto@accueil ['moto', 3, 2, 'hopital', None]
retour_r@extra_2187 ['retour_r', 3, 3, 'extra_2187', 'accueil']
voyager@accueil* ['voyager', 1, 1, 'extra_2187', None]
velo@accueil ['velo', 1, 2, 'extra_2187', None]
table@accueil ['table', 1, 3, 'extra_2187', None]
lieux_r@accueil ['lieux_r', 2, 1, 'extra_2187', None]
homme@lieux ['homme', 2, 2, 'extra_2187', None]
religion_r@lieux ['religion_r', 2, 3, 'extra_2187', None]
parc@lieux ['parc', 3, 1, 'extra_2187', None]
femme@lieux ['femme', 3, 2, 'extra_2187', None]
retour_r@extra_1662 ['retour_r', 3, 3, 'extra_1662', 'accueil']
voyager@nourriture ['voyager', 1, 1, 'extra_1662', None]
plus_r@lieux ['plus_r', 1, 2, 'extra_1662', None]
voyager@lieux ['voyager', 1, 3, 'extra_1662', None]
femme@nourriture ['femme', 2, 1, 'extra_1662', None]
