voiture@accueil ['voiture', 1, 1, 'accueil', None]
salle@accueil ['salle', 1, 2, 'accueil', None]
avion@accueil ['avion', 1, 3, 'accueil', None]
nager@accueil ['nager', 2, 1, 'accueil', None]
chaise@accueil ['chaise', 2, 2, 'accueil', None]
je@accueil ['je', 2, 3, 'accueil', None]
toilette@accueil ['toilette', 3, 1, 'accueil', None]
bureau@accueil ['bureau', 3, 2, 'accueil', None]
plus_r@accueil ['plus_r', 3, 3, 'accueil', 'personnes']
homme@personnes ['homme', 1, 1, 'personnes', None]
religion_r@personnes ['religion_r', 1, 2, 'personnes', 'religion']
femme@personnes ['femme', 2, 1, 'personnes', None]
voyager@personnes ['voyager', 3, 1, 'personnes', None]
retour_r@personnes ['retour_r', 3, 3, 'personnes', 'accueil']
priere@religion ['priere', 1, 1, 'religion', None]
eglise@religion ['eglise', 2, 1, 'religion', None]
train@religion ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'personnes']
