cuisine@maison ['cuisine', 1, 2, 'maison', None]
chambre@maison ['chambre', 1, 3, 'maison', None]
savon@maison ['savon', 3, 1, 'maison', None]
eau@maison ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
maison_r@accueil ['maison_r', 1, 1, 'accueil', 'maison']
fin@accueil ['fin', 1, 2, 'accueil', None]
avion@accueil* ['avion', 1, 3, 'accueil', None]
voyager@accueil ['voyager', 2, 1, 'accueil', None]
chaise@accueil ['chaise', 2, 2, 'accueil', None]
professeur@ecole ['professeur', 1, 1, 'ecole', None]
devoir@ecole ['devoir', 1, 2, 'ecole', None]
cahier@ecole ['cahier', 2, 1, 'ecole', None]
je@ecole ['je', 3, 1, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
je@accueil ['je', 2, 3, 'accueil', 'ecole']
toilette@accueil ['toilette', 3, 1, 'accueil', None]
table@accueil ['table', 3, 2, 'accueil', None]
homme@personnes ['homme', 1, 1, 'lieux', None]
priere@religion ['priere', 1, 1, 'religion', None]
eglise@religion ['eglise', 2, 1, 'religion', None]
train@religion ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'lieux']
religion_r@personnes ['religion_r', 1, 2, 'lieux', 'religion']
parc@lieux ['parc', 1, 3, 'lieux', None]
femme@personnes ['femme', 2, 1, 'lieux', None]
infirmiere@hopital ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital ['docteur', 1, 3, 'hopital', None]
pacient@hopital ['pacient', 2, 1, 'hopital', None]
maladie@hopital ['maladie', 2, 2, 'hopital', None]
train@hopital ['train', 2, 3, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'lieux']
hopital_r@lieux ['hopital_r', 2, 2, 'lieux', 'hopital']
voyager@personnes ['voyager', 3, 1, 'lieux', None]
agence@lieux ['agence', 3, 2, 'lieux', None]
retour_r@personnes ['retour_r', 3, 3, 'lieux', 'accueil']
lieux_r@accueil ['lieux_r', 3, 3, 'accueil', 'lieux']
voiture@accueil ['voiture', 1, 1, 'maison', None]
salle@accueil ['salle', 2, 1, 'maison', None]
avion@accueil ['avion', 2, 2, 'maison', None]
nager@accueil ['nager', 2, 3, 'maison', None]
livre@accueil ['livre', 1, 3, 'ecole', None]
ecole_r@accueil ['ecole_r', 2, 2, 'ecole', None]
garcon@accueil ['garcon', 2, 3, 'ecole', None]
bureau@accueil ['bureau', 3, 2, 'ecole', None]
plus_r@accueil ['plus_r', 2, 3, 'lieux', None]
universite@lieux ['universite', 1, 2, 'religion', None]
