TRAIN	1	1	accueil	train@accueil
IL	2	1	accueil	il@accueil
BOIRE	3	1	accueil	boire@accueil
BUS	1	2	accueil	bus@accueil
CHAISE	2	2	accueil	chaise@accueil
TU	3	2	accueil	tu@accueil
MANGER	1	3	accueil	manger@accueil
JE	2	3	accueil	je@accueil
AIMER	3	3	accueil	aimer@accueil
ENFANT	1	4	accueil	enfant@accueil
POMME	2	4	accueil	pomme@accueil
ELLE	3	4	accueil	elle@accueil
			elle@accueil	annexe
JE	1	1	annexe	je@annexe
VOYAGER	2	1	annexe	voyager@annexe
CHIEN	3	1	annexe	chien@annexe
SALLE	1	2	annexe	salle@annexe
ALLER	2	2	annexe	aller@annexe
TRAIN	3	2	annexe	train@annexe
AVION	1	3	annexe	avion@annexe
VOYAGER	2	3	annexe	voyager@annexe
TRAVAIL	3	3	annexe	travail@annexe
ECOLE	1	4	annexe	ecole@annexe
MAISON	2	4	annexe	maison@annexe
RETOUR	3	4	annexe	retour@annexe
			retour@annexe	accueil
