JE	1	1	accueil	je@accueil
TU	2	1	accueil	tu@accueil
ÇA	3	1	accueil	ça@accueil
PERSONNES_R	4	1	accueil	personnes_R@accueil
			personnes_R@accueil	personnes_accueil
ÊTRE	1	2	accueil	être@accueil
ARRÊTER	2	2	accueil	arrêter@accueil
REGARDER	3	2	accueil	regarder@accueil
CHOSES_R	4	2	accueil	choses_R@accueil
			choses_R@accueil	choses_accueil
VOULOIR	1	3	accueil	vouloir@accueil
ALLER	2	3	accueil	aller@accueil
AIDER	3	3	accueil	aider@accueil
LIEUX_R	4	3	accueil	lieux_R@accueil
			lieux_R@accueil	lieux_accueil
AIMER	1	4	accueil	aimer@accueil
AVOIR	2	4	accueil	avoir@accueil
ACTIONS_R	3	4	accueil	actions_R@accueil
			actions_R@accueil	actions_accueil
DÉCRIRE_R	4	4	accueil	décrire_R@accueil
			décrire_R@accueil	mots_descriptifs_accueil
FAIRE	1	5	accueil	faire@accueil
DONNER	2	5	accueil	donner@accueil
AVEC	3	5	accueil	avec@accueil
PETITS MOTS_R	4	5	accueil	petits_mots_R@accueil
			petits_mots_R@accueil	petits_mots_accueil
QUOI	1	6	accueil	quoi@accueil
POUR	2	6	accueil	pour@accueil
À	3	6	accueil	à@accueil
CHAT_R	4	6	accueil	chat_R@accueil
			chat_R@accueil	chat_accueil
OÙ	1	7	accueil	où@accueil
PAS	2	7	accueil	pas@accueil
BIEN	3	7	accueil	bien@accueil
ACTIVITÉS_R	4	7	accueil	activités_R@accueil
			activités_R@accueil	activités_accueil
ENCORE	1	8	accueil	encore@accueil
C'EST FINI	2	8	accueil	c'est_fini@accueil
AIDE_R	3	8	accueil	aide_R@accueil
			aide_R@accueil	aide_accueil
PLUS	4	8	accueil	plus@accueil
			plus@accueil	accueil_-_2
FLÈCHE	0	1	accueil_-_2	flèche@accueil_-_2
			flèche@accueil_-_2	accueil
NOURRITURE_R	1	1	accueil_-_2	nourriture_R@accueil_-_2
			nourriture_R@accueil_-_2	nourriture_accueil
CONJONCTIONS_R	2	1	accueil_-_2	conjonctions_R@accueil_-_2
			conjonctions_R@accueil_-_2	conjonctions_accueil
DIVERTISSEMENT_R	1	2	accueil_-_2	divertissement_R@accueil_-_2
			divertissement_R@accueil_-_2	divertissement_accueil
NOMBRES_R	2	2	accueil_-_2	nombres_R@accueil_-_2
			nombres_R@accueil_-_2	nombres_accueil
ÉMOTIONS_R	1	3	accueil_-_2	émotions_R@accueil_-_2
			émotions_R@accueil_-_2	émotions_accueil
ÉCOLE_R	2	3	accueil_-_2	école_R@accueil_-_2
			école_R@accueil_-_2	école_accueil
TEMPS_R	1	4	accueil_-_2	temps_R@accueil_-_2
			temps_R@accueil_-_2	temps_accueil
RELIGION_R	2	4	accueil_-_2	religion_R@accueil_-_2
			religion_R@accueil_-_2	religion_accueil
INDICES_R	1	5	accueil_-_2	indices_R@accueil_-_2
			indices_R@accueil_-_2	indices_accueil
CHOSES DE LA MAISON_R	2	5	accueil_-_2	choses_de_la_maison_R@accueil_-_2
			choses_de_la_maison_R@accueil_-_2	choses_de_la_maison_accueil
INTERROGER_R	1	6	accueil_-_2	interroger_R@accueil_-_2
			interroger_R@accueil_-_2	mots_interrogatifs_accueil
OÙ_R	1	7	accueil_-_2	où_R@accueil_-_2
			où_R@accueil_-_2	où_accueil
LEQUEL_R	1	8	accueil_-_2	lequel_R@accueil_-_2
			lequel_R@accueil_-_2	lequel_accueil
RETOUR	4	8	accueil_-_2	retour@accueil_-_2
			retour@accueil_-_2	accueil
